cTerminal,cDet_Lobby,cDepartamento,cCiudad,cDistrito,cDireccion,cUbicación,ATM BN / ISLA,CODIGO AGENCIA,cNom_Oficina,cTipo_Oficina,cDet_Region,cUbigeo,Coord_X,Coord_Y
S1ADB241,PARED,LIMA,LIMA,SURQUILLO,AV TOMAS MARZANO 1451,CONJUNTO HABITACIONAL LA MERCED,ISLA,0058,CHAMA,AGENCIA 2,MACROREGION-LIMA (SEDE),150141,-12.116968219174331,-77.008967399597171
S1AD1274,PEDESTAL,LIMA,LIMA,LA VICTORIA,JR FRANCISCO LUNA PIZARRO 1550,TIENDA METRO MEXICO,ISLA,0019,LA VICTORIA,AGENCIA 2,MACROREGIÓN-LIMA(SEDE),150115,-12.0752931,-77.026081
